moyenAge;Population total;Population résidante permanente;Suisse;Homme;Femme;Titulaire d'une autorisation de séjour (B);Titulaire d'une autorisation d'établissement (C);Titulaire d'une autorisation de séjour avec activité lucrative (Ci);Personne admise à titre provisoire (F);Titulaire d'une autorisation de séjour de courte durée (L);Requérant d'asile (N);Diplomate, fonctionnaire international avec immunité diplomatique;Fonctionnaire international sans immunité diplomatique;Pas attribué;Population résidante non permanente;Id;Canton;Année
40.801126974236716;36913;36507;31414;18789;18124;2200;2592;0;97;504;104;0;0;2;406;84;Obwalden;2013
42.2483550295858;42250;41888;36410;21667;20583;2187;2950;0;79;521;102;0;1;0;362;85;Nidwalden;2013
41.97853585657371;40160;39593;30795;20510;19650;2391;5751;0;93;966;164;0;0;0;567;86;Glarus;2013
40.79465225453999;119714;118118;87575;60843;58871;11347;18278;0;340;1867;304;2;1;0;1596;87;Zug;2013
38.92830947987333;299677;297622;235799;150025;149652;20751;38845;5;756;2638;666;14;55;148;2055;88;Fribourg / Freiburg;2013
42.2099827294984;263455;261437;208257;131142;132313;10549;40826;2;749;2180;779;0;16;97;2018;89;Solothurn;2013
43.15345065526652;192746;189335;124478;93163;99583;22516;39782;24;409;4239;693;9;596;0;3411;90;Basel-Stadt;2013
43.21879139989216;280043;278656;221006;137221;142822;14517;40915;23;922;1577;692;1;348;42;1387;91;Basel-Landschaft;2013
42.84809919641847;79519;78783;59350;39364;40155;5448;13553;0;145;716;285;0;0;22;736;92;Schaffhausen;2013
41.970840289371175;53910;53691;45645;27180;26730;1982;5722;0;109;272;175;0;0;5;219;93;Appenzell Ausserrhoden;2013
40.45689219893966;15844;15778;14124;8123;7721;455;1118;0;23;65;55;0;0;4;66;94;Appenzell Innerrhoden;2013
40.52910339256866;495200;491699;379074;247546;247654;27405;81981;0;893;4543;1289;14;1;0;3501;95;St. Gallen;2013
42.24703195225582;203585;194959;160440;102433;101152;15049;16050;0;420;11127;492;0;0;7;8626;96;Graubünden / Grigioni / Grischun;2013
40.830847199062845;641089;636362;487918;321938;319151;36605;108242;1;1311;5483;1444;4;17;64;4727;97;Aargau;2013
40.62218880280216;262655;260278;199434;132195;130460;16379;42759;0;367;3023;680;0;0;13;2377;98;Thurgau;2013
43.61426880743672;348971;346539;252173;169932;179039;31578;61042;0;595;2275;939;28;0;341;2432;99;Ticino;2013
39.64877263008592;758614;749373;503493;371856;386758;92990;143985;127;2677;6390;2211;652;2190;3899;9241;100;Vaud;2013
41.14060549731747;335691;327011;254273;167313;168378;26468;41057;0;891;11965;936;0;5;96;8680;101;Valais / Wallis;2013
40.90716571165082;177833;176402;132428;86819;91014;12895;29831;0;420;1389;469;7;8;386;1431;102;Neuchâtel;2013
40.16062506351411;472336;469433;279635;228479;243857;56271;107147;639;1560;3454;1341;7341;14948;0;2903;103;Genève;2013
41.65809083718413;72063;71738;61985;35558;36505;2608;6747;0;165;316;197;0;3;42;325;104;Jura;2013
40.80217577268079;1460079;1446354;1073065;726097;733982;138705;224221;14;5592;15439;2252;186;12;593;13725;105;Zürich;2014
42.67974646582922;1017141;1009418;857915;498900;518241;44035;96307;64;4044;8573;3007;2168;325;703;7723;106;Bern / Berne;2014
40.59557775862372;397943;394604;325336;198246;199697;22031;44197;0;1712;3458;889;1;0;319;3339;107;Luzern;2014
42.03018103141347;36513;36008;31864;18788;17725;1797;1980;0;85;701;66;0;0;20;505;108;Uri;2014
41.17610809478403;154161;152759;122299;79096;75065;8363;20692;0;528;1912;361;0;1;5;1402;109;Schwyz;2014
41.09304450655773;37208;36834;31609;18929;18279;2290;2663;0;136;423;86;0;0;1;374;110;Obwalden;2014
42.5434260131951;42440;42080;36363;21764;20676;2331;3038;0;112;492;103;0;1;0;360;111;Nidwalden;2014
42.13460205899822;40408;39794;30798;20597;19811;2548;5871;0;146;908;128;0;0;9;614;112;Glarus;2014
40.93328842631004;121733;120089;88446;61918;59815;11916;18834;0;403;1840;292;2;0;0;1644;113;Zug;2014
39.06121052148967;305356;303377;238449;152896;152460;22339;40464;5;896;2403;643;18;52;87;1979;114;Fribourg / Freiburg;2014
42.376110057497215;265752;263719;208749;132412;133340;11539;41557;2;955;2099;740;0;18;93;2033;115;Solothurn;2014
43.11830884248518;193950;190580;124274;93909;100041;23597;40363;26;577;4030;451;12;620;0;3370;116;Basel-Stadt;2014
43.33870745292194;282775;281301;221378;138746;144029;15460;42121;28;1155;1688;565;2;334;44;1474;117;Basel-Landschaft;2014
42.97379516199241;80405;79417;59542;39884;40521;5631;13796;0;218;984;214;0;0;20;988;118;Schaffhausen;2014
42.11387651411951;54322;54064;45763;27437;26885;2056;5932;0;168;250;152;0;0;1;258;119;Appenzell Ausserrhoden;2014
40.68387743592957;15959;15854;14169;8183;7776;458;1147;0;44;92;44;0;0;5;105;120;Appenzell Innerrhoden;2014
40.7040136659297;499344;495824;380500;249836;249508;29345;82881;0;1293;4183;1135;7;0;0;3520;121;St. Gallen;2014
